Temperature,Humidity,Timestamp
29,65,08/12/2018 09:30
29,65,08/12/2018 09:30
41,41,08/12/2018 09:29
41,41,08/12/2018 09:29
31,75,08/12/2018 09:29
31,75,08/12/2018 09:29
29,65,08/12/2018 09:28
29,65,08/12/2018 09:28
29,65,08/12/2018 09:26
29,65,08/12/2018 09:26
42,42,08/12/2018 09:25
42,42,08/12/2018 09:25
29,65,08/12/2018 09:24
29,65,08/12/2018 09:24
29,65,08/12/2018 09:22
29,65,08/12/2018 09:22
41,41,08/12/2018 09:21
41,41,08/12/2018 09:21
29,65,08/12/2018 09:20
29,65,08/12/2018 09:20
42,42,08/12/2018 09:19
42,42,08/12/2018 09:19
29,65,08/12/2018 09:18
29,65,08/12/2018 09:18
41,41,08/12/2018 09:17
41,41,08/12/2018 09:17
29,65,08/12/2018 09:16
29,65,08/12/2018 09:16
29,65,08/12/2018 09:14
29,65,08/12/2018 09:14
29,65,08/12/2018 09:12
29,65,08/12/2018 09:12
42,42,08/12/2018 09:09
42,42,08/12/2018 09:09
29,65,08/12/2018 09:08
29,65,08/12/2018 09:08
41,41,08/12/2018 09:07
41,41,08/12/2018 09:07
29,65,08/12/2018 09:05
42,42,08/12/2018 09:04
30,70,08/12/2018 09:04
29,65,08/12/2018 09:04
42,42,08/12/2018 09:03
30,70,08/12/2018 09:03
30,70,08/12/2018 09:01
29,65,08/12/2018 09:00
29,65,08/12/2018 09:00
29,65,08/12/2018 08:58
29,65,08/12/2018 08:58
41,41,08/12/2018 08:57
30,70,08/12/2018 08:55
30,70,08/12/2018 08:55
42,42,08/12/2018 08:53
42,42,08/12/2018 08:53
29,65,08/12/2018 08:52
29,65,08/12/2018 08:52
31,75,08/12/2018 08:51
29,65,08/12/2018 08:50
29,65,08/12/2018 08:50
29,65,08/12/2018 08:48
29,65,08/12/2018 08:46
29,65,08/12/2018 08:46
29,65,08/12/2018 08:42
29,65,08/12/2018 08:42
41,41,08/12/2018 08:41
30,70,08/12/2018 08:41
30,70,08/12/2018 08:41
29,65,08/12/2018 08:40
29,65,08/12/2018 08:40
29,65,08/12/2018 08:38
29,65,08/12/2018 08:38
29,65,08/12/2018 08:36
29,65,08/12/2018 08:36
29,65,08/12/2018 08:34
29,65,08/12/2018 08:34
41,41,08/12/2018 08:33
41,41,08/12/2018 08:33
29,65,08/12/2018 08:32
29,65,08/12/2018 08:32
41,41,08/12/2018 08:31
41,41,08/12/2018 08:31
29,65,08/12/2018 08:30
29,65,08/12/2018 08:30
29,65,08/12/2018 08:28
29,65,08/12/2018 08:28
41,41,08/12/2018 08:27
41,41,08/12/2018 08:27
29,65,08/12/2018 08:26
29,65,08/12/2018 08:26
41,41,08/12/2018 08:25
41,41,08/12/2018 08:25
29,65,08/12/2018 08:24
29,65,08/12/2018 08:24
41,41,08/12/2018 08:23
41,41,08/12/2018 08:23
29,65,08/12/2018 08:22
29,65,08/12/2018 08:22
40,40,08/12/2018 08:21
40,40,08/12/2018 08:21
29,65,08/12/2018 08:20
29,65,08/12/2018 08:20
29,65,08/12/2018 08:18
29,65,08/12/2018 08:18
30,70,08/12/2018 08:17
30,70,08/12/2018 08:17
29,65,08/12/2018 08:16
29,65,08/12/2018 08:16
40,40,08/12/2018 08:15
40,40,08/12/2018 08:15
